30
1,Lodz,Boksytowa,28
2,Monki,Wojska Polskiego,103
3,Warszawa,Rownolegla,111
4,Warszawa,Zwirki i Wigury,141
5,Kedzierzyn-kozle,Boleslawa Chrobrego,2
6,Lodz,Czolgistow,81
7,Wroclaw,Scinawska,113
8,Zielona Gora,Zawadzkiego Tadeusza Zoski,14
9,Gdansk,Matecznikowa,12
10,Poznan,Maloszynska,111
11,Radom,Cynkowa,148
12,Jaworzno,Koszutskiej Marii,129
13,Szczecin,Rugianska,40
14,Katowice,Dzialkowa,12
15,Krakow,Miedziana,61
16,Zawiercie,Olendry,78
17,Kielce,Gierymskiego Aleksandra,82
18,Swietochlowice,Mickiewicza Adama,73
19,Dabrowa Gornicza,Koscielna,143
20,Lublin,Niemcewicza Ursyna Juliana,131
21,Bydgoszcz,Sardynkowa,24
22,Rzeszow,Zajecza,30
23,Brzeg,Brzechwy Jana,78
24,Sopot,Winieckiego Jana,11
25,Bedzin,Mostowa,56
26,Koszalin,Kasztanowa,39
27,Bialystok,Pulaskiego Kazimierza,132
28,Wroclaw,Traugutta Romualda,101
29,Konopki,Kwiatowa,8,2
30,Ostroleka,Graniczna,149,3
