30
        0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29
   0    0  326  130  135  240    7  240  342  345  205  181  231  455  222  297  186  165  204  205  300  220  488  224  352  216  410  317  222  194  243
   1  326    0  212  215  587  332  539  670  383  518  310  536  695  514   12  483  384  474   65  242  412   54  540  390  445  542   58  544  200  239
   2  130  212    0    5  310  129  357  436  351  313   99  307  541  303   65  279  167  286   91  186  291   51  337  352  294  501   30  342  120  128
   3  135  215    5    0  317  131  367  437  352  319   95  300  547  304   38  275  159  283   30  182  294   16  340  359  295  490   78  350  121  135
   4  240  587  310  317    0  232  136  305  563  311  310   88  504   78   13  127  251   62   37  420  438   56   95  580   83  551   51  131  464  472
   5    7  332  129  131  232    0  231  348  332  218  138  228  468  214   84  176  150  200   59  302  239   23  218  350  201  414   69  210  192  246
   6  240  539  357  367  136  231    0  156  481  180  325  228  399  204   96  242  333  191   92  437  275   21   47  480  219  414   69    5  421  470
   7  342  670  436  437  305  348  156    0  454  150  499  389  211  379   28  418  529  354   49  604  288   22  211  468  384  315   10  160  459  569
   8  345  383  351  352  563  332  481  454    0  321  450  520  357  539    4  535  469  520   10  540  183   96  556   14  520  180   88  455  234  306
   9  205  518  313  319  311  218  180  150  321    0  341  359  219  381   97  419  382  360   99  480  148   73  243  369  393  239   80  180  322  405
  10  181  310   99   95  310  138  325  499  450  341    0  232  616  229   57  182   73  235   73  106  359   47  353  450  230  550   70  450  217  225
  11  231  536  307  300   88  228  228  389  520  359  232    0  582   21   23   52  162   35   58  357  473   90  176  560   36  711    4  217  420  437
  12  455  695  541  547  504  468  399  211  357  219  616  582    0  572   90  616  624  563   86  723  256   89  440  360  588  173   33  370  470  682
  13  222  514  303  304   78  214  204  379  539  381  229   21  572    0   80   55  170   19   93  326  436   35  150  542   13  746   61  200  420  428
  14  297  512  265  268  163  234  296  458  534  467  197   63  660   80    0   74  130   97   88  280  450   38  247  570   94  696   98  283  404  412
  15  186  483  279  275  127  176  242  418  535  419  182   52  616   55   74    0  119   59   56  305  415    2  200  512   37  604   14  237  386  403
  16  165  384  167  159  251  150  333  529  469  382   73  162  624  170  130  119    0  183    9  173  386   14  322  500  159  587   83  311  284  292
  17  204  474  286  283   62  200  191  354  520  360  235   35  563   19   97   59  183    0   28  360  422   36  151  534   23  645   60  193  402  408
  18  205  495  291  295   97  189  212  349  510  399  213   28  606   23   88   26  149   28    0  325  415   11  186  530   11  614   75  243  402  409
  19  300  242  186  182  420  302  437  604  540  480  106  357  723  326  280  305  173  360  325    0  408    6  459  522  339  526   78  470  290  267
  20  220  412  291  294  438  239  275  288  183  148  359  473  256  436  450  415  386  422  415  408    0  635  305  193  420  184   71  288  223  302
  21  488  500  310  306  310  323  421  602  706  603  187  220  810  235  138  242  164  236  241  176  635    0  378  674  251  764   69  435  448  426
  22  224  540  337  340   95  218   47  211  556  243  353  176  440  150  247  200  322  151  186  459  305  378    0  481  174  488    3   44  410  463
  23  352  390  352  359  580  350  480  468   14  369  450  560  360  542  570  512  500  534  530  522  193  674  481    0  538  185   24  506  230  303
  24  216  445  294  295   83  201  219  384  520  393  230   36  588   13   94   37  159   23   11  339  420  251  174  538    0  624   33  211  402  410
  25  410  542  501  490  551  414  414  315  180  239  550  711  173  746  696  604  587  645  614  526  184  764  488  185  624    0  532  413  360  440
  26  317   42  202  208  551  320  544  643  418  506  299  511  633  503  498  466  366  484  475  250  420  469  533  390  484  532    0  534  210  115
  27  222  544  342  350  131  210    5  160  455  180  450  217  370  200  283  237  311  193  243  470  288  435   44  506  211  413  534    0  412  461
  28  194  200  120  121  464  192  421  459  234  322  217  420  470  420  404  386  284  402  402  290  223  448  410  230  402  360  210  412    0   93
  29  243  239  128  135  472  246  470  569  306  405  225  437  682  428  412  403  292  408  409  267  302  426  463  303  410  440  115  461   93    0
