15
        0    1    2    3    4    5    6    7    8    9   10   11   12   13   14
   0    0  326  130  135  240    7  240  342  345  205  181  231  455  222  297
   1  326    0  212  215  587  332  539  670  383  518  310  536  695  514   12
   2  130  212    0    5  310  129  357  436  351  313   99  307  541  303   65
   3  135  215    5    0  317  131  367  437  352  319   95  300  547  304   38
   4  240  587  310  317    0  232  136  305  563  311  310   88  504   78   13
   5    7  332  129  131  232    0  231  348  332  218  138  228  468  214   84
   6  240  539  357  367  136  231    0  156  481  180  325  228  399  204   96
   7  342  670  436  437  305  348  156    0  454  150  499  389  211  379   28
   8  345  383  351  352  563  332  481  454    0  321  450  520  357  539    4
   9  205  518  313  319  311  218  180  150  321    0  341  359  219  381   97
  10  181  310   99   95  310  138  325  499  450  341    0  232  616  229   57
  11  231  536  307  300   88  228  228  389  520  359  232    0  582   21   23
  12  455  695  541  547  504  468  399  211  357  219  616  582    0  572   90
  13  222  514  303  304   78  214  204  379  539  381  229   21  572    0   80
  14  297  512  265  268  163  234  296  458  534  467  197   63  660   80    0
